Generación	Mejor_Fitness	Fitness_Promedio
0	-337.77210309	-119496520863704485389672644608.00000000
1	-337.61653387	-7951455930925586754408808448.00000000
2	-211.53931909	-331431470339794214634651648.00000000
3	-211.53931909	-6425622356557121839955968.00000000
4	-211.53931909	-13897193467887281504256.00000000
5	-211.53931909	-21469790075605647360.00000000
6	-211.31719588	-379495275840254208.00000000
7	-207.05618603	-613592294139220.00000000
8	-207.05618603	-2556768167302.97119141
9	-191.87184094	-758906165883.37744141
10	-191.87184094	-184071279789.32431030
11	-189.91892008	-2863196.14282803
12	-189.54541646	-223.07523929
13	-183.74795962	-57297.35336026
14	-181.59097973	-440001.80939311
15	-177.92163044	-201.62372746
16	-177.92163044	-208.74801960
17	-177.92163044	-202.77032832
18	-174.28547979	-202.37186783
19	-170.75661086	-194.73804513
20	-162.18552225	-186.96685817
21	-161.70964177	-186.22624454
22	-158.04440941	-181.28294021
23	-158.04440941	-178.28325364
24	-158.04440941	-175.90337142
25	-154.83328482	-173.35221920
26	-153.02068943	-35079876169.47316742
27	-153.02068943	-167.85338497
28	-153.02068943	-163.94526200
29	-150.49530574	-160.66372542
30	-150.49530574	-158.97628662
31	-150.18450501	-157.08260646
32	-150.18450501	-155.25711585
33	-150.18450501	-153.44093923
34	-150.12407691	-152.12756880
35	-150.11005469	-151.17326058
36	-150.11040054	-150.77818847
37	-150.11040054	-150.37089084
38	-150.10850658	-151.56052002
39	-150.10847517	-150.48959139
40	-150.10847517	-150.61889876
41	-150.10847517	-150.25830348
42	-150.10847517	-150.56866793
43	-150.10847517	-150.69426971
44	-150.10839941	-150.40629404
45	-150.10839941	-150.42461087
46	-150.10839941	-150.27331071
47	-150.10839941	-150.27700515
48	-150.10839941	-151.44391454
49	-150.10839941	-150.73025283
50	-150.10839941	-150.34079310
51	-150.10839941	-151.47075834
52	-150.10839654	-150.41228439
53	-150.10839654	-150.20603378
54	-150.10839654	-150.55722322
55	-150.10839654	-150.32657505
56	-150.10839654	-150.64436616
57	-150.10839654	-150.33219129
58	-150.10839654	-151.82156303
59	-150.10833346	-150.26982615
60	-150.10833346	-150.42115550
61	-150.10833346	-151.30903251
62	-150.10833346	-150.37902682
63	-150.10833346	-150.30064712
64	-150.10833346	-156.24193952
65	-150.10833346	-150.24392932
66	-150.10833346	-150.34211258
67	-150.10833346	-274.39725903
68	-150.10833346	-150.46433988
69	-150.10833346	-150.23120302
70	-150.10833346	-150.31804254
71	-150.10833346	-150.42332011
72	-150.10833346	-150.24718464
73	-150.10833346	-150.42405040
74	-150.10833346	-150.43082830
