Generación	Mejor_Fitness	Fitness_Promedio
0	352.76178377	-364347.35505031
1	396.02899284	-6194.49417996
2	396.02899284	259.96855079
3	410.08057714	317.63166961
4	410.08057714	347.84063877
5	410.08057714	368.34029332
6	410.08057714	383.36497221
7	410.08057714	395.39824124
8	411.15109930	402.45748050
9	411.15109930	407.15466293
10	411.15109930	409.64135120
11	411.15682996	410.29451676
12	411.15727300	410.60081152
13	411.15728584	410.95889990
14	411.15732258	411.13899686
15	411.15733888	411.15377589
16	411.15733888	411.15646297
17	411.15733888	411.15719170
18	411.15733892	410.78698443
19	411.15733893	411.15733422
20	411.15733893	411.15733795
