Generación	Mejor_Fitness	Fitness_Promedio
0	372.46396573	-234470.01894929
1	391.04553859	-1838.63458779
2	391.04553859	280.30392596
3	391.04553859	329.79317129
4	398.37747967	361.08907898
5	408.60491746	376.71466312
6	409.96335943	385.80089193
7	409.96335943	393.37926537
8	409.96335943	397.99312109
9	411.13752910	403.98033886
10	411.15715255	408.01536030
11	411.15715255	409.88700612
12	411.15725022	409.90167832
13	411.15733378	410.27536293
14	411.15733378	410.71461616
15	411.15733378	410.52260154
16	411.15733378	410.78384786
17	411.15733378	410.78670075
18	411.15733620	411.15729480
