Generación	Mejor_Fitness	Fitness_Promedio
0	389.92578560	-252739.61378742
1	393.94178465	-96.35042871
2	401.40726987	281.76801108
3	401.40726987	335.00465352
4	401.40726987	365.85208951
5	402.59008916	385.97455780
6	402.59008916	393.33058076
7	402.59008916	398.34512535
8	402.59008916	400.88625390
9	402.71087203	400.77580451
10	402.71087203	401.04650959
11	402.71607055	400.79159787
12	402.71607055	402.06889336
13	402.71607055	400.67708482
14	402.71919678	402.20614455
15	402.71919678	402.70615554
16	402.71919678	402.23458987
17	402.71921260	401.70562697
18	402.71921260	402.23739455
19	402.71981245	402.18726925
20	402.71999849	401.75943771
21	402.72003105	402.23959892
22	402.72003105	401.22935050
23	402.72004409	402.24001088
24	402.72004409	401.70946779
25	402.72004409	401.28086049
26	402.72004409	400.32147416
27	402.72004409	400.75017522
28	402.72004409	401.70721769
