Generación	Mejor_Fitness	Fitness_Promedio
0	-41873894739982887682048.00000000	-55859986412801267252238221312.00000000
1	-2488926631118248083456.00000000	-180567511800785346223931392.00000000
2	-2488926631118248083456.00000000	-17864078338017795734765568.00000000
3	-2488926631118248083456.00000000	-691754690460122573963264.00000000
4	-21889.01084609	-46029293155565145423872.00000000
5	-3650.90351188	-2699148370410409558016.00000000
6	-355.08842847	-486839005406498127872.00000000
7	-352.26289061	-50297119994448470016.00000000
8	-284.89130288	-995.96969375
9	-284.89130288	-652.78429381
10	-279.39563192	-524.87168535
11	-262.79785657	-408.35243781
12	-258.23761081	-289.96373335
13	-245.51120212	-278.30478678
14	-245.12035815	-257.25095934
15	-224.73886611	-248.29792444
16	-224.73886611	-236.45819662
17	-212.99950353	-226.02160055
18	-212.99950353	-221.20358955
19	-212.99950353	-218.98905443
20	-212.99950353	-215.72417962
21	-197.31662461	-222.64374569
22	-191.10223737	-212.66319327
23	-190.95960556	-206.77601480
24	-184.79431992	-197.29254574
25	-184.79431992	-191.15907728
26	-184.79431992	-189.40833054
27	-184.79431992	-186.45552003
28	-184.10040793	-187.64684703
29	-184.10040793	-185.76189062
30	-184.10040793	-185.44457905
31	-184.10040793	-184.82360418
32	-184.10040793	-184.63066756
33	-179.38684272	-192.32807489
34	-179.38684272	-184.50018641
35	-179.38684272	-183.49697016
36	-178.98056735	-185.13381818
37	-178.98056735	-181.64112571
38	-178.98056735	-180.70415147
39	-178.84901250	-181.84745086
40	-177.73257407	-179.19483319
41	-177.73257407	-178.74466833
42	-170.44995267	-177.81077842
43	-170.44995267	-177.74134795
44	-170.44995267	-176.50047588
45	-169.92748607	-175.42691654
46	-166.39199642	-173.55710702
47	-163.96254016	-170.20642850
48	-158.70026906	-167.01507577
49	-163.96254016	-165.55677541
50	-156.51023041	-163.71875946
51	-155.91757386	-163.02243149
52	-155.91757386	-162.92201262
53	-155.40761697	-162.68771452
54	-155.40761697	-174.49021256
55	-155.40761697	-161.29497255
56	-155.40761697	-158.74956982
57	-155.40761697	-157.14252611
58	-155.40761697	-155.98077398
59	-153.05482955	-155.62117025
60	-153.05482955	-156.44422669
61	-152.08706582	-155.23162975
62	-152.08706582	-155.89646165
63	-152.08706582	-154.46566843
64	-152.08706582	-155.21771307
65	-151.70738205	-154.72041982
66	-151.50888771	-154.93184784
67	-150.68521212	-152.64775858
68	-150.54326508	-151.72213393
69	-150.54326508	-153.46439747
70	-150.54326508	-150.59030900
71	-150.54326508	-151.68474223
72	-150.18450501	-150.52414805
73	-150.18450501	-152.28145556
74	-150.18450501	-153.53299576
75	-150.18450501	-151.48633514
76	-150.18450501	-150.22038102
77	-150.18450501	-151.24199328
78	-150.14245050	-150.95065781
79	-150.14245050	-150.90082247
80	-150.14245050	-150.20906145
81	-150.14245050	-150.17329047
82	-150.14245050	-150.18170138
83	-150.14245050	-150.18310319
84	-150.14245050	-150.18170138
85	-150.14245050	-150.18170138
86	-150.12775574	-150.17560428
87	-150.12775574	-150.17602645
88	-150.12775574	-150.17883008
89	-150.12775574	-150.17504680
90	-150.12775574	-151.61960764
91	-150.12775574	-150.45584688
92	-150.12775574	-150.21402923
93	-150.12775574	-150.22433732
94	-150.12775574	-150.18261337
95	-150.12775574	-150.17883008
96	-150.12775574	-150.17749096
97	-150.12775574	-150.20088500
98	-150.18450501	-150.22727683
99	-150.18450501	-150.18450501
100	-150.18450501	-150.31316155
101	-150.18450501	-150.18887370
102	-150.13342635	-150.18280239
103	-150.13342635	-150.18265054
104	-150.13342635	-150.18034050
105	-150.17994942	-150.19479330
106	-150.10918449	-150.17408775
107	-150.10918449	-150.17568732
108	-150.10918449	-150.18788821
109	-150.10918449	-150.16819350
110	-150.10918449	-150.17516050
111	-150.12413309	-150.17384405
112	-150.12413309	-150.82804401
113	-150.17994942	-150.21400663
114	-150.17994942	-150.99728374
115	-150.11717474	-150.17157946
116	-150.11717474	-150.18338334
117	-150.11432237	-150.17629711
118	-150.11717474	-150.17162738
119	-150.11717474	-150.17427936
120	-150.11347215	-150.38167850
121	-150.17994942	-150.18964529
122	-150.17994942	-150.18010127
123	-150.17994942	-156.10069718
124	-150.17994942	-150.18781339
125	-150.17994942	-150.19600623
126	-150.17994942	-150.17994942
127	-150.17994942	-150.17994942
128	-150.17994942	-150.17994942
129	-150.17994942	-150.19816556
130	-150.17994942	-150.27463499
131	-150.17156657	-150.17966999
132	-150.17156657	-150.17855228
133	-150.11838997	-150.18738858
134	-150.11838997	-150.55865681
135	-150.11838997	-150.28557730
136	-150.11838997	-150.18171112
137	-150.11838997	-150.18171112
138	-150.11838997	-151.34541245
139	-150.11838997	-150.17555518
140	-150.11240135	-150.15863112
141	-150.11240135	-150.16663943
142	-150.11240135	-150.21004742
143	-150.11240135	-150.20779581
144	-150.11240135	-150.16643981
145	-150.11240135	-150.16448768
146	-150.11240135	-150.17094301
147	-150.11240135	-150.17094301
148	-150.11240135	-150.17094301
149	-150.11240135	-150.79807953
150	-150.11240135	-150.17575545
151	-150.11240135	-150.17350385
152	-150.14448416	-150.17758507
153	-150.14448416	-150.17678835
154	-150.11750165	-150.19252943
155	-150.11750165	-150.17962176
156	-150.11750165	-150.17162305
157	-150.11750165	-150.16954146
158	-150.11750165	-150.17593809
159	-150.11750165	-150.57078895
160	-150.11350436	-150.31972464
161	-150.11350436	-150.23534835
162	-150.11350436	-150.17376047
163	-150.11350436	-150.18038036
164	-150.11350436	-150.17360862
165	-150.11350436	-150.17551975
166	-150.10898035	-150.17051095
167	-150.10898035	-150.17285251
168	-150.10898035	-150.16575561
169	-150.10898035	-150.17233680
170	-150.10898035	-150.17063873
171	-150.10898035	-150.58991085
172	-150.10898035	-150.18386410
173	-150.10898035	-150.18596953
174	-150.10898035	-150.16102434
175	-150.10898035	-150.16968759
176	-150.10858545	-150.15863237
177	-150.10858545	-150.15624041
178	-150.10858545	-150.16101117
179	-150.10858545	-150.20419137
180	-150.10858545	-150.18941529
181	-150.10858545	-150.15650014
182	-150.10858545	-150.16925509
183	-150.10858545	-150.16628404
184	-150.10858545	-150.17239383
185	-150.10858545	-150.20863229
186	-150.10858545	-150.17359427
187	-150.10858545	-150.44342402
188	-150.10858545	-150.37690902
189	-150.10858545	-150.23119630
190	-150.10858545	-150.14245259
191	-150.10858545	-150.14590273
